Date,Me_Location,Me_Lon,Me_Lat,You_Location,You_Lon,You_Lat,Event_Title,Description,Figure
2024/10/11,天津,117.3042,38.9911,天津,117.1,39.09,初遇天津,在天津这片最初求学的土地上，雅思考场下楼的电梯成为相识的起点。,
2024/11/2,天津,117.185,39.145,天津,117.185,39.145,漫步海河,记录下在海河畔的足迹。,https://cdn.jsdelivr.net/gh/zx18270756851-afk/Tracks-of-us@main/P1000720.jpg
2024/11/6,天津,117.185,39.145,天津,117.185,39.145,天津秋日,在天津的秋日里一同外出拍照记录时光。,https://cdn.jsdelivr.net/gh/zx18270756851-afk/Tracks-of-us@main/P1001881.JPG
2024/4/5,天津,117.185,39.145,天津,117.185,39.145,海棠节,在天津共赏海棠盛开的春景。,https://cdn.jsdelivr.net/gh/zx18270756851-afk/Tracks-of-us@main/haitang.jpg
2024/4/11,北京,116.4074,39.9042,北京,116.4074,39.9042,颐和园,一同游览北京颐和园。,https://cdn.jsdelivr.net/gh/zx18270756851-afk/Tracks-of-us@main/P1016705.JPG
2025/5/10,天津,117.3042,38.9911,天津,117.1,39.09,天津猫咖,在猫咖度过悠闲的下午。,https://cdn.jsdelivr.net/gh/zx18270756851-afk/Tracks-of-us@main/P1018361.jpg
2025/5/5至5/9,海参崴,131.8867,43.1198,海参崴,131.8867,43.1198,跨国之旅,正式在一起的地方。5月6日至9日飞往海参崴，一起看海和夕阳。,https://cdn.jsdelivr.net/gh/zx18270756851-afk/Tracks-of-us@main/P1030492.JPG
2025/5/10,天津,117.3042,38.9911,天津,117.1,39.09,回到天津,短暂休息后准备迎接下一站旅程。,
2025/5/20至22,滨海,117.7894,39.1055,滨海,117.7894,39.1055,滨海海洋博物馆,在国家海洋博物馆探索海洋的奥秘。,https://cdn.jsdelivr.net/gh/zx18270756851-afk/Tracks-of-us@main/P1030560.JPG
2025/6/11至13,天津蓟县,117.404,40.045,天津蓟县,117.404,40.045,蓟县,留下在蓟县的探索足迹。,https://cdn.jsdelivr.net/gh/zx18270756851-afk/Tracks-of-us@main/P1031320.JPG
2025/6/20,杭州,120.1536,30.2875,杭州,120.1536,30.2875,游在杭州,走过西湖的断桥。,https://cdn.jsdelivr.net/gh/zx18270756851-afk/Tracks-of-us@main/P1031532.JPG
2025/6/21至23,赣州,114.935,25.831,赣州,114.935,25.831,抵达赣州,来到客家摇篮。,https://cdn.jsdelivr.net/gh/zx18270756851-afk/Tracks-of-us@main/P1031708.JPG
,赣州兴国,115.343,26.338,南宁,108.32,22.824,暑假回家,你在南宁，我在兴国，开启了短暂的暑期异地生活。,
2025/7/9至7.11,南宁,108.32,22.824,南宁,108.32,22.824,南宁之旅,暑假期间在你的家乡南宁共度的时光。,https://cdn.jsdelivr.net/gh/zx18270756851-afk/Tracks-of-us@main/P1031996.JPG
2025/7/12,赣州兴国,115.343,26.338,南宁,108.32,22.824,再次异地,南宁之行结束，各自回到家乡继续暑假生活。,
2025/8/21至,深圳,114.0579,22.5431,深圳,114.0579,22.5431,汇合深圳,在深圳重逢，奔向下一站。,https://cdn.jsdelivr.net/gh/zx18270756851-afk/Tracks-of-us@main/P1033494.JPG
2025/9/4,香港,114.1694,22.3193,香港,114.1694,22.3193,初抵香港,你特意来香港送我开学，维港的晚风吹过了夏天。,https://cdn.jsdelivr.net/gh/zx18270756851-afk/Tracks-of-us@main/P1033952.jpg
2025/9/6,香港,114.1694,22.3193,塞格德,20.1414,46.253,跨越欧亚,我留在香港求学，你飞向了塞格德读书，8000公里的异地求学之旅开始了。,
2025/12/21至28,布达佩斯,19.0402,47.4979,布达佩斯,19.0402,47.4979,布达佩斯重逢,跨越万里找寻，在寒冷的冬天里拥抱彼此。,https://cdn.jsdelivr.net/gh/zx18270756851-afk/Tracks-of-us@main/P1045867.JPG
2025/12/23至25,罗马,12.4964,41.9028,罗马,12.4964,41.9028,罗马假日,在罗马的古迹间留下足迹。,https://cdn.jsdelivr.net/gh/zx18270756851-afk/Tracks-of-us@main/P1045931.JPG
2025/12/21至28,塞格德,20.1414,46.253,塞格德,20.1414,46.253,回到塞格德,在你的求学地享受最后的相处时光。,
2025/12/21至28,香港,114.1694,22.3193,塞格德,20.1414,46.253,现在的我们,我回到了香港，你依然在塞格德。物理距离虽远，感情依旧深厚。,
2026/4.3至13,深圳,114.0579,22.5431,深圳,114.0579,22.5431,深圳之旅,再次来到深圳留下共同回忆。,
2026/4.3至13,香港,114.1694,22.3193,香港,114.1694,22.3193,重游香港,在香港继续书写足迹。,
2026/4.3至13,台湾,121.5654,25.033,台湾,121.5654,25.033,台湾之旅,完成宝岛台湾的旅程。,https://cdn.jsdelivr.net/gh/zx18270756851-afk/Tracks-of-us@main/P1057557.JPG
2026/4.3至13,深圳,114.0579,22.5431,深圳,114.0579,22.5431,再回深圳,在深圳度过了充实的时光。,
2026/4.3至13,香港,114.1694,22.3193,塞格德,20.1414,46.253,双城记,香港与塞格德，距离虽远，步履不停。
